,Unnamed: 0,host_listings_count,accommodates,bathrooms,bedrooms,guests_included,minimum_nights,number_of_reviews,calculated_host_listings_count,price,latitude,longitude,room_type,instant_bookable,pricen
0,0,1.0,6,1.0,2.0,1,3,4,1,$145.00,52.361173049799994,4.8667545817,Entire home/apt,f,145.0
1,1,1.0,2,1.0,1.0,1,2,17,1,$88.00,52.3702365562,4.8595066743,Entire home/apt,f,88.0
2,10,1.0,2,1.0,1.0,1,3,0,1,$130.00,52.3714238698,4.8486441151,Entire home/apt,f,130.0
3,100,1.0,5,1.0,4.0,1,5,2,1,$90.00,52.312889059700005,4.9801512367,Entire home/apt,f,90.0
4,1000,1.0,1,1.0,1.0,1,1,32,1,$39.00,52.3953339501,4.9167010400999995,Private room,t,39.0
5,10000,1.0,3,1.0,2.0,1,2,3,1,$118.00,52.347202224600004,4.8464319494999994,Entire home/apt,f,118.0
6,10001,34.0,4,1.0,2.0,1,2,5,31,$129.00,52.3440713313,4.8681937676,Entire home/apt,t,129.0
7,10002,1.0,4,1.0,3.0,1,2,10,1,$130.00,52.345652719700006,4.8693281562,Entire home/apt,t,130.0
8,10003,1.0,4,1.0,1.0,1,3,16,1,$135.00,52.347393438900006,4.8759562399,Private room,f,135.0
9,10004,1.0,2,1.0,1.0,1,1,0,1,$94.00,52.35009552060001,4.8498240994,Entire home/apt,f,94.0
10,10005,1.0,2,1.0,1.0,1,10,2,1,$110.00,52.3527266284,4.8833913822,Entire home/apt,f,110.0
11,10006,1.0,2,1.5,1.0,1,3,11,1,$120.00,52.3470001483,4.8690156349,Entire home/apt,f,120.0
12,10007,2.0,3,1.0,1.0,1,2,0,2,$60.00,52.349061059099995,4.8482405105,Private room,t,60.0
13,10008,1.0,2,1.0,1.0,2,4,5,1,$95.00,52.3548255456,4.8466775301,Entire home/apt,f,95.0
14,10009,1.0,2,1.0,1.0,2,2,0,1,$125.00,52.356435506800004,4.850362334700001,Entire home/apt,f,125.0
15,1001,1.0,3,1.0,0.0,2,2,0,1,$90.00,52.398657408199995,4.9048965518,Entire home/apt,t,90.0
16,10010,1.0,4,1.0,1.0,2,2,25,1,$180.00,52.358714288,4.876988369599999,Entire home/apt,f,180.0
17,10011,1.0,2,1.0,1.0,2,2,10,1,$138.00,52.3570338407,4.852240274100001,Entire home/apt,f,138.0
18,10012,1.0,2,1.5,1.0,1,4,1,1,$130.00,52.3524602392,4.8538832984,Entire home/apt,f,130.0
19,10013,1.0,4,1.0,3.0,1,4,6,1,$185.00,52.3526366684,4.8519882118,Entire home/apt,f,185.0
20,10014,1.0,2,1.0,0.0,1,3,1,1,$95.00,52.3552698143,4.8502544187000005,Entire home/apt,f,95.0
21,10015,5.0,2,1.0,1.0,1,2,5,4,$75.00,52.3542526129,4.8541279427,Private room,t,75.0
